stn;time;" Globalstrahlung (W/m); Tagesmittel";Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Luftdruck auf Stationshoehe (hpa);Niederschlag (mm);Sonnenscheindauer (min);Durchschnittstemperatur (¡C);Tiefsttemperatur (¡C);Maximaltemperatur (¡C);Relative Luftfeuchtigkeit (%)
PAY;19740628;-;0;100;948.2;27.8;0;13.6;11.4;16.5;97.7
PAY;19740629;-;0;88;952.4;6.3;60;13.8;12.5;15.7;92.4
PAY;19740630;-;0;79;960.1;0;276;16.2;9.6;20.7;76.9
PAY;19740701;-;0;79;963.2;1;276;18.3;12.7;22.8;76.5
PAY;19740702;-;0;8;965.7;0;900;18.6;11.1;25.2;66.7
PAY;19740703;-;0;83;960.5;14.1;342;14.7;8.3;20.9;81.2
PAY;19740704;-;0;42;961.7;0;720;15.6;10.2;21.4;65.4
PAY;19740705;-;0;8;959.9;2.5;858;16.4;7.3;25;73.1
PAY;19740706;-;0;83;960.5;0.4;120;16.6;12.7;22.6;83.4
PAY;19740707;-;0;33;964.8;0;864;16.1;10.8;20.9;66.9
PAY;19740708;-;0;13;965.6;0;864;16;8;23.3;72.1
PAY;19740709;-;0;42;964;0.2;744;18.5;9.3;26.7;72.4
PAY;19740710;-;0;79;965.2;0;402;17.9;12.4;23.4;67.7
PAY;19740711;-;0;63;963.1;0;750;21;13.9;27.7;67.5
PAY;19740712;-;0;21;958.4;0;858;23.3;17.5;29.2;65.1
PAY;19740713;-;0;83;954.7;4.9;198;20.2;15.3;26.6;74.7
PAY;19740714;-;0;83;957.2;8.5;66;15.5;14;17;92.9
PAY;19740715;-;0;46;961.4;0;756;16.4;9.4;23.2;75.1
PAY;19740716;-;0;79;957.3;5.3;198;17.2;10.3;24.2;78.9
PAY;19740717;-;0;88;956.2;6.6;156;15.3;13.7;18.5;82.9
PAY;19740718;-;0;88;958.8;2.6;78;12.6;10.6;15.7;88.1
PAY;19740719;-;0;96;963.7;1.3;0;10.8;8.5;12.7;88.4
PAY;19740720;-;0;83;964.7;0.2;138;12.3;5.6;18;81.1
PAY;19740721;-;0;75;963.5;0.6;468;16;11.2;22;77.2
PAY;19740722;-;0;21;962.2;0;840;16;7.8;23.3;71.2
PAY;19740723;-;0;46;960.6;0;816;18;8.6;26.7;71.7
PAY;19740724;-;0;88;957.6;43.1;174;18.5;13.6;24.8;74.7
PAY;19740725;-;0;54;960.9;0;678;16.3;12.6;21.4;72.2
PAY;19740726;-;0;8;962.5;0;858;15.8;7.1;24.5;73.2
PAY;19740727;-;0;13;960.6;0;834;18;9.2;26.5;73.4
PAY;19740728;-;0;13;963.6;0;804;19.6;10.4;27.3;66
PAY;19740729;-;0;8;965.4;0;834;20.4;11.6;29;67.2
PAY;19740730;-;0;88;961.9;0;312;20.2;11.9;27.6;70.4
PAY;19740731;-;0;58;959.1;9.6;576;21.6;14.5;28.3;73.4
PAY;19740801;-;0;29;959.1;0;528;20.6;13.6;27;76.1
PAY;19740802;-;0;25;959.1;0;528;20.7;14.4;27.8;78.7
PAY;19740803;-;0;17;958.4;0;738;21.8;13.7;29.9;73.9
PAY;19740804;-;0;71;958.7;1.1;336;21;16.1;27.3;73.4
PAY;19740805;-;0;50;964.1;0;654;19.1;15.8;24.4;67.4
PAY;19740806;-;0;25;965.2;0;768;17.1;9;24;73.7
PAY;19740807;-;0;17;957.7;4.5;750;18.7;9.6;27.8;75.9
PAY;19740808;-;0;79;954.6;3.7;366;17.8;14;21.9;73.5
PAY;19740809;-;0;63;958.2;0;660;16.5;13.7;20;69.1
PAY;19740810;-;0;75;957.4;4.9;222;15.5;11.1;20.8;77.6
PAY;19740811;-;0;83;960.3;6.9;150;12.7;11;16.1;90.2
PAY;19740812;-;0;58;962.5;0;630;15.5;8.4;23;75.9
PAY;19740813;-;0;17;960.9;0;198;18.7;10.2;28.5;70.1
PAY;19740814;-;0;50;963.7;0;624;21.4;14;30;69.9
PAY;19740815;-;0;4;966.7;0;768;22.9;13.9;31.6;66
PAY;19740816;-;0;17;964.2;0;756;23.6;14.6;33.8;60.2
PAY;19740817;-;0;25;961.9;0;708;22.7;14;31.3;66.1
PAY;19740818;-;0;29;960.7;0;612;20.8;15;26.8;79.1
PAY;19740819;-;0;88;962.1;0;48;18.1;13.5;22.5;84.1
PAY;19740820;-;0;50;963.4;0;414;19.6;16.2;25.4;81.6
PAY;19740821;-;0;71;960.9;5;300;19.6;15;25.8;83.9
PAY;19740822;-;0;96;958.6;29.6;18;18;15.6;21.8;91.2
PAY;19740823;-;0;83;959.7;0;126;18.3;15.6;22.3;87
PAY;19740824;-;0;83;960.9;0;132;18.2;13.6;22.6;83.4
PAY;19740825;-;0;63;960;0;342;18.2;13;23.5;82.1
PAY;19740826;-;0;71;957.7;0;330;17.9;12.2;24.3;81.1
PAY;19740827;-;0;92;962.1;21.1;12;13.6;11.3;15.4;87.9
PAY;19740828;-;0;50;962;0;396;11.1;5.9;16.4;84.6
PAY;19740829;-;0;33;957.1;0;564;13.9;7;21.8;83.1
PAY;19740830;-;0;75;954.6;0;378;16;8.4;23.2;84.2
PAY;19740831;-;0;63;954.2;10.5;192;14;8.7;20.1;90.9
PAY;19740901;-;0;75;956.4;1.8;378;13.3;7.6;19.7;82.1
PAY;19740902;-;0;100;954.6;9.8;6;14.3;9.4;17.8;91
PAY;19740903;-;0;96;957.3;14.9;0;13.7;12.7;14;93
PAY;19740904;-;0;71;961.7;0;474;13.8;10;18.4;78
PAY;19740905;-;0;13;957.7;0;720;16;6.8;24.6;72.4
PAY;19740906;-;0;88;954.2;6.9;0;13.8;11.4;17.2;87.7
PAY;19740907;-;0;63;955.9;0;462;13.7;7.7;19.3;77.9
PAY;19740908;-;0;67;958.8;0;318;17.8;8.6;23.8;73.1
PAY;19740909;-;0;54;959.9;1.9;462;16.7;9.7;24.8;84.1
PAY;19740910;-;0;38;968.1;0;612;14.6;10;18.7;81
PAY;19740911;-;0;54;966.2;0;480;13.5;6.7;21.6;85.6
PAY;19740912;-;0;0;964.7;0;558;16.5;9.3;25;86
PAY;19740913;-;0;50;965.2;0;564;18.1;11.7;25.8;82.7
PAY;19740914;-;0;54;964.2;0;450;18.7;13.3;24.6;87.6
PAY;19740915;-;0;96;960.5;5;264;18.6;14.8;23.3;89.2
PAY;19740916;-;0;29;959.5;0;480;18.6;14.3;23.8;87.7
PAY;19740917;-;0;71;960.1;0;354;17.8;13.4;23.6;87.7
PAY;19740918;-;0;83;961;0;12;17.3;13;20.9;87.4
PAY;19740919;-;0;100;961.3;0;0;16.4;15.8;17.5;87.2
PAY;19740920;-;0;92;959;0;84;15.2;13.5;18.4;83.6
PAY;19740921;-;0;58;955.8;0;408;12.9;9;18.1;78.5
PAY;19740922;-;0;63;957.1;0.4;156;10.9;8.8;15.8;77
PAY;19740923;-;0;88;955.7;5.8;30;8.5;2.7;13.3;82.1
PAY;19740924;-;0;96;949.2;3.3;168;9.5;7.8;12.7;86
PAY;19740925;-;0;96;946.1;10.9;72;8;6;10.8;88
PAY;19740926;-;0;92;951.5;0;114;8.3;6;11.8;82.5
PAY;19740927;-;0;38;956.6;0;522;10.3;5;16.8;80.9
PAY;19740928;-;0;92;953.3;20.7;30;8.2;6.7;10.8;91.9
PAY;19740929;-;0;75;955.9;1.2;318;7;2;12.5;85.1
PAY;19740930;-;0;75;958.8;8.6;18;4.8;1.2;9;89.2
PAY;19741001;-;0;79;961.9;0.2;378;6.9;1.7;10.8;80.2
PAY;19741002;-;0;92;960;4.3;78;5.4;3.3;8.4;88
PAY;19741003;-;0;100;954.8;11.6;0;5;2.8;6.7;93.1
PAY;19741004;-;0;58;958.4;0;432;6.8;2.2;11.8;80.6
PAY;19741005;-;0;71;960.6;0;60;5.5;0;9.2;89.1
PAY;19741006;-;0;92;960.2;0;42;6.9;5.2;10.8;86.1
PAY;19741007;-;0;75;946.9;14.7;18;5.2;3.2;9.1;90
PAY;19741008;-;0;92;949;6.2;0;6;2;8;88.2
PAY;19741009;-;0;100;957.1;12.9;0;5.1;3.7;5.8;93
PAY;19741010;-;0;79;959.8;0.6;132;6.6;3.2;10.3;90.5
PAY;19741011;-;0;92;957.7;5.7;0;4.9;3;6.4;95.1
PAY;19741012;-;0;75;960.1;1.4;60;3.1;-0.4;8;93.6
PAY;19741013;-;0;38;961.4;0;228;3.2;-1.8;9.3;86
PAY;19741014;-;0;96;960.1;0.5;24;4.3;1.3;6.8;82.9
PAY;19741015;-;0;83;960;0;102;2.5;-1.1;6.5;87.9
PAY;19741016;-;0;75;960.8;0;78;3.2;-0.3;6.5;87
PAY;19741017;-;0;96;961.3;1.9;0;4.8;0.2;7.6;93.9
PAY;19741018;-;0;54;963.7;0;258;6.6;4.3;11.8;92.6
PAY;19741019;-;0;100;955.8;17.9;0;7.7;3.3;12;90.4
PAY;19741020;-;0;92;944.2;2.6;12;7.3;4.6;9.6;85.1
PAY;19741021;-;0;100;944.1;1.8;102;3.9;1.9;6.5;88.1
PAY;19741022;-;0;92;943.8;0;30;3.7;2;6.4;85.6
PAY;19741023;-;0;100;949.4;0.2;0;4.1;2;5.4;88.7
PAY;19741024;-;0;100;960.4;0.1;0;5.6;3.7;8.1;93.2
PAY;19741025;-;0;88;964.5;0;0;5.4;1;9.2;89.6
PAY;19741026;-;0;92;960.8;0.2;6;6.8;5.8;9.3;84.1
PAY;19741027;-;0;92;957.7;3.9;36;7.7;5.6;11.3;87.2
PAY;19741028;-;0;83;950.4;3.8;126;4.3;1.2;6.9;85.6
PAY;19741029;-;0;100;948.5;2.6;36;2.7;1.2;5.3;90.7
PAY;19741030;-;0;96;949.6;0.3;150;2.5;0.5;5.4;89.1
PAY;19741031;-;0;88;951.2;1.6;12;1.2;-0.8;3.8;90.6
PAY;19741101;-;2;63;960.3;2.2;306;2.1;-2.1;5.8;81.9
PAY;19741102;-;0;71;962.5;1;36;3.8;-0.4;7.8;90
PAY;19741103;-;0;100;963.2;5.6;0;0.2;-2;1.8;95
PAY;19741104;-;0;96;957.8;8.5;0;1.7;-0.5;4;96.6
PAY;19741105;-;0;100;960.9;0;0;2.2;-0.1;3.8;93
PAY;19741106;-;0;100;965.9;0;0;3.4;2.7;4.2;88.1
PAY;19741107;-;0;100;968.5;0;0;3.1;2.4;3.8;87.5
PAY;19741108;-;0;83;968.2;0;6;1.9;1.3;3.7;84.6
PAY;19741109;-;0;71;965.7;0;114;1.1;-2.4;6.1;90.7
PAY;19741110;-;0;88;962.4;4.1;0;2.3;-1.6;5.4;96.9
PAY;19741111;-;0;67;961.6;0;36;3.4;0.3;9.6;96.4
PAY;19741112;-;0;67;957.2;2.4;270;7.2;-0.4;12.1;82.2
PAY;19741113;-;0;58;957.4;0;228;5.6;3.3;9.7;90
PAY;19741114;-;0;83;953.1;0;180;3.2;-0.5;8.7;96.4
PAY;19741115;-;0;50;951.5;0;150;4.2;1.1;10.8;93.1
PAY;19741116;-;0;88;952.6;11;0;5.1;1.6;8.6;93.9
PAY;19741117;-;0;100;961;0;0;3.7;1.2;5.1;99
PAY;19741118;-;0;100;955.3;14;0;4.4;2.2;7.3;97.9
PAY;19741119;-;0;71;959.9;2.8;108;4.2;2.3;7.2;89.9
PAY;19741120;-;0;96;959.3;0.5;54;3.6;0.2;6.5;88.9
PAY;19741121;-;0;83;961;0.4;78;5.4;4.3;7.5;91.6
PAY;19741122;-;0;96;960.1;3;0;5.6;1.3;9.7;92.5
PAY;19741123;-;0;79;958.5;0;6;6.6;4.2;9.2;95.9
PAY;19741124;-;0;100;957.3;1.5;0;6.4;4.6;8.7;95.9
PAY;19741125;-;0;96;955.9;2;24;6.5;3;7.9;85.5
PAY;19741126;-;0;100;956.6;10;6;4.7;2.3;6.9;85.4
PAY;19741127;-;0;92;951.5;4.5;0;6.7;3.4;12.3;93.6
PAY;19741128;-;0;92;946.8;7.4;96;6.1;2;8;80.4
PAY;19741129;-;0;83;954.6;0.3;6;2.8;1.2;4.4;91
PAY;19741130;-;0;100;959.5;7.4;0;3;2;6.5;91.6
PAY;19741201;-;0;88;965.1;0;450;6.9;2.6;9.7;84.1
PAY;19741202;-;0;63;972.6;0;126;6;4.5;9.5;83.7
PAY;19741203;-;0;92;974.1;0;18;4.8;0.2;7.5;92.2
PAY;19741204;-;0;38;970.2;0.2;372;4.8;1;8.1;87.9
PAY;19741205;-;0;63;969.6;0;114;5.6;2.6;8.6;78.5
PAY;19741206;-;0;100;968.6;0.5;0;4;0.6;6;85.7
PAY;19741207;-;0;100;968.1;1.9;0;4.7;2.7;6.3;87.7
PAY;19741208;-;0;75;965.6;0;0;5.6;3.8;8;94
PAY;19741209;-;0;100;962.3;0.1;0;4.5;2;6;96.6
PAY;19741210;-;0;92;963.5;0.3;0;6.2;4.6;8.1;87.7
PAY;19741211;-;0;96;959.2;2.6;0;3.2;0.6;4.9;75.4
PAY;19741212;-;0;100;958.5;0.2;12;0.6;-0.8;2;85
PAY;19741213;-;0;96;955.9;1.3;30;2;-1.4;4.4;88.6
PAY;19741214;-;0;17;967.7;0;390;-1.7;-4.6;1.4;85.6
PAY;19741215;-;0;79;965.8;0;18;-0.1;-4.1;3.1;85.4
PAY;19741216;-;0;88;963.5;4.2;198;2.3;-0.3;5.8;83
PAY;19741217;-;0;96;955.5;4.6;0;5.4;2;8.8;88.7
PAY;19741218;-;0;96;960.2;0.2;24;3.5;1.8;5.2;81.7
PAY;19741219;-;0;88;967.9;0;0;3.9;2.3;6;81.6
PAY;19741220;-;0;17;969.3;0;444;1.2;-2.6;5.6;88.1
PAY;19741221;-;0;4;970.5;0;438;-1;-4.7;2.5;91
PAY;19741222;-;0;100;972.7;0;0;-2.6;-5.2;-0.8;99.5
PAY;19741223;-;0;100;969.3;0;0;-3.4;-5.4;-1.3;99.7
PAY;19741224;-;0;100;963.6;2.3;0;-1.2;-4.8;6.4;98.9
PAY;19741225;-;0;75;968.8;0;96;6.1;0;10.2;86.1
PAY;19741226;-;0;79;970.1;0.2;138;11.1;7.2;15.3;70.5
PAY;19741227;-;0;96;965.8;7.9;6;8.2;6.4;12;79.2
PAY;19741228;-;0;100;969.9;0.8;0;7.8;5.5;11.2;89.4
PAY;19741229;-;0;83;972.3;3.1;246;10.9;8.8;13.6;79.6
PAY;19741230;-;0;79;976.1;0;24;4;0.8;4.6;75.5
PAY;19741231;-;0;83;977.4;0.2;156;0.3;-2.2;4.4;88.5
PAY;19750101;-;0;33;973.8;0;258;2.6;0.6;6.7;86.1
PAY;19750102;-;0;100;972.2;0;0;-0.1;-1.2;0.6;99.2
PAY;19750103;-;0;100;971.7;0;0;0;-0.4;0.8;93.1
PAY;19750104;-;0;100;974.6;0;0;-1.5;-2.4;-0.8;90.9
PAY;19750105;-;0;100;974.9;0;0;-1.2;-2.1;-0.4;92.2
PAY;19750106;-;0;100;969.4;0;0;-0.9;-2.7;2.2;99.2
PAY;19750107;-;0;71;964;1.3;0;2.6;-1.8;5;87
PAY;19750108;-;0;100;960.6;2.3;0;5;3;6.5;92.5
PAY;19750109;-;0;100;967.6;0;0;0.2;-2.4;2.2;99.1
PAY;19750110;-;0;100;967.9;0;0;1.2;-0.5;3;94
PAY;19750111;-;0;100;965.4;0;0;0.9;-1;2.8;96.2
PAY;19750112;-;0;100;965;0;0;0.2;-2.4;2.6;99.4
PAY;19750113;-;0;100;966.7;0;96;-0.5;-4;3.3;98.1
PAY;19750114;-;0;79;961.9;0;0;-1.6;-3.8;1;99.2
PAY;19750115;-;0;88;959.3;0;12;0;-2.2;3.1;94.5
PAY;19750116;-;0;79;953.7;2.4;0;1;-1.3;8.3;92.9
PAY;19750117;-;0;71;953.8;3.2;276;7.2;1.4;10.7;77.6
PAY;19750118;-;0;100;948.5;13.7;6;5.7;3.6;9;86.6
PAY;19750119;-;0;96;959.1;0.1;18;4.1;1;7.3;90.5
PAY;19750120;-;0;58;965.5;0.2;126;3.2;1.7;7.7;91.1
PAY;19750121;-;0;79;966.9;0.3;0;2.8;-0.8;5.8;85.9
PAY;19750122;-;0;4;966.2;0;462;2;-2.3;6.3;80.4
PAY;19750123;-;0;100;958.4;0.3;0;4.5;1.1;6.5;80.2
PAY;19750124;-;0;96;956.9;0.2;0;6.6;4.7;7.9;85.7
PAY;19750125;-;0;96;960.2;4.8;0;6.7;4.6;7.9;89.7
PAY;19750126;-;0;29;965.4;0;330;5.8;2.3;9.1;79.6
PAY;19750127;-;0;83;954.9;7.9;60;2.7;-0.8;7.1;92.9
PAY;19750128;-;0;92;952.1;14.5;36;2.9;1.3;9.1;82.4
PAY;19750129;-;0;88;954.7;2.2;48;6.6;0.4;8.2;78.7
PAY;19750130;-;0;79;963.1;0.1;36;7.7;4.7;10.2;90.1
PAY;19750131;-;0;83;964.3;3;72;6.1;2.7;10.2;88
PAY;19750201;-;0;67;971.9;0;60;3.7;1.8;6;82.1
PAY;19750202;-;0;71;969.8;0;216;3.4;0.8;6.5;81.4
PAY;19750203;-;0;75;964.6;0;288;4.3;2.7;7.4;80.2
PAY;19750204;-;0;75;964.8;0;150;1.5;0;3.7;78.1
PAY;19750205;-;0;54;966.9;0;216;-0.4;-3.6;5;90.2
PAY;19750206;-;0;58;967.3;0;318;1.5;-2;7;89.2
PAY;19750207;-;0;33;965.3;0;276;0.1;-2.6;4.3;97.2
PAY;19750208;-;0;67;963.3;0;0;-1.8;-3.8;0;100
PAY;19750209;-;0;100;962;0;0;-1.1;-3.4;0.6;99.4
PAY;19750210;-;0;100;961.3;0;0;-0.8;-2.4;1;99.2
PAY;19750211;-;0;96;955.7;0;78;1;-2.4;5.4;95.5
PAY;19750212;-;0;63;949.6;3.4;60;2.8;-1.4;6.9;91.1
PAY;19750213;-;0;75;950.1;0.8;246;5.5;2.5;9.2;84
PAY;19750214;-;0;58;950.7;0;204;3.8;1.9;7.5;76
PAY;19750215;-;0;17;954.4;0;504;1.1;-3.7;7.3;79.2
PAY;19750216;-;0;96;965.1;0;78;1.4;-1.3;4.2;86.4
PAY;19750217;-;0;50;970.1;0;480;1.2;-2;6.1;81.2
PAY;19750218;-;0;25;968.3;0;438;1.8;-3.6;9;83.5
PAY;19750219;-;0;88;960.8;4.8;156;4.8;0.4;12.2;82.2
PAY;19750220;-;0;88;964.6;0;30;1;-0.1;2;85
PAY;19750221;-;0;67;967.8;0;108;-1.7;-4.1;0.4;86.9
PAY;19750222;-;0;46;970.1;0;390;0.6;-3.7;5.5;88
PAY;19750223;-;0;38;971.6;0;210;-0.2;-3;5.3;95.1
PAY;19750224;-;0;83;969.2;0;18;-0.7;-3.9;2.3;93.6
PAY;19750225;-;0;25;967.1;0;492;-0.1;-5;5.6;83.4
PAY;19750226;-;0;0;971.5;0;492;0.1;-4.2;5.1;84.6
PAY;19750227;-;0;0;972;0;564;1.4;-4.7;7.8;73.4
PAY;19750228;-;0;50;964.6;0;306;2.1;-3.4;10;80.5
PAY;19750301;-;0;71;957.7;0;60;2.9;-2.4;8.7;87.4
PAY;19750302;-;0;75;956.4;5.7;240;4.8;-0.8;11.4;86.2
PAY;19750303;-;0;96;950.8;0;0;7;4.7;9.6;94.1
PAY;19750304;-;0;92;944.9;0.2;6;5.2;1.8;10.4;92.7
PAY;19750305;-;0;63;951.9;2.7;306;4.6;-0.7;11.8;85.7
PAY;19750306;-;0;63;959.4;0.3;102;5.1;1.2;10;86.4
PAY;19750307;-;0;92;956.1;1.9;276;5.1;-0.4;11.2;84.1
PAY;19750308;-;0;88;951.4;2;234;8;5;11.7;84.9
PAY;19750309;-;0;100;943.3;7;0;5.1;3.7;6;93
PAY;19750310;-;0;100;947;1.7;6;3.8;2.6;5.8;89
PAY;19750311;-;0;96;952.6;0;0;3.9;1.5;6.3;90.6
PAY;19750312;-;0;96;948.7;0;0;5.5;4.3;7.7;86.4
PAY;19750313;-;0;100;949.9;1.7;0;3.8;0.7;7.4;96.2
PAY;19750314;-;0;100;951.1;6.8;0;5.5;4.4;7.2;95.1
PAY;19750315;-;0;100;954.1;0.5;0;4.9;3.9;7.8;88.1
PAY;19750316;-;0;88;955.1;0;114;3.2;-0.8;7.6;83.1
PAY;19750317;-;0;96;953.1;2.3;60;1.9;0.6;3.9;86.5
PAY;19750318;-;2;100;946.2;4.2;0;-0.8;-2;0.6;87.7
PAY;19750319;-;5;92;946.2;1.1;0;-1.9;-3.2;-0.2;89
PAY;19750320;-;4;17;951.9;0;582;-0.7;-6.6;5.5;77.7
PAY;19750321;-;0;100;960.1;0;6;2.3;-1.6;5.6;85.4
PAY;19750322;-;0;100;958;5.9;24;3.4;0.3;7.7;81.1
PAY;19750323;-;2;100;946.5;1.3;0;2.2;0;5.4;91.6
PAY;19750324;-;1;75;950.3;0.8;114;2.5;0;5.2;84
PAY;19750325;-;0;92;958.1;0;84;3.2;0;6.5;71
PAY;19750326;-;0;50;952.7;0.1;612;5.6;0.4;10.4;72.4
PAY;19750327;-;0;100;943.9;8.7;6;5;0.2;8.9;86
PAY;19750328;-;0;83;941.5;2.9;84;3.4;1.9;4.4;76.5
PAY;19750329;-;0;42;947;0;624;1.9;-3.2;6.4;68.6
PAY;19750330;-;0;71;947;0;432;1.7;-2.7;6.2;72.9
PAY;19750331;-;0;75;947.6;0;180;1.2;-2.6;4.2;82.4
PAY;19750401;-;0;79;954.5;0;42;1.8;-1.2;5.2;81.1
PAY;19750402;-;0;88;953.1;0;240;2.2;-3.9;7.7;75.2
PAY;19750403;-;0;92;945.2;1.7;162;3.6;1.3;7.8;83.6
PAY;19750404;-;0;88;949;2.4;54;2.1;-1.2;5.7;80.2
PAY;19750405;-;0;67;950.3;3.6;372;3.1;-0.1;6.8;83.1
PAY;19750406;-;1;92;951.5;7;0;1.7;0;4.3;94.1
PAY;19750407;-;0;71;953.9;0;66;1.1;-2.2;5.3;88.9
PAY;19750408;-;0;92;953.4;5;66;5.2;1.7;8.3;76.4
PAY;19750409;-;0;75;952.7;6.5;0;3;1.1;7.2;86.5
PAY;19750410;-;1;88;956.4;0;72;1.2;-1.6;3.7;77.9
PAY;19750411;-;0;63;961.8;0;390;3.1;-2.4;8.5;71.7
PAY;19750412;-;0;92;965.1;0;6;7.1;3.6;9.8;68.6
PAY;19750413;-;0;58;965;0;240;9.3;4.8;14;69.9
PAY;19750414;-;0;50;958.4;0.6;672;10.2;2.2;18.7;69.7
PAY;19750415;-;0;83;951.1;13.3;6;11.3;9;13;80.1
PAY;19750416;-;0;96;955.9;4.2;12;7.9;6.3;11.6;89.1
PAY;19750417;-;0;54;962.6;0;498;9.7;3;14.8;77.1
PAY;19750418;-;0;17;958.4;0;684;12;5.3;19.5;74.4
PAY;19750419;-;0;83;959;0;318;14.9;10;20.7;72.1
PAY;19750420;-;0;88;962.8;1.7;0;13;10.8;15.6;80
PAY;19750421;-;0;92;962.7;0;36;11.3;8.6;13.7;85.9
PAY;19750422;-;0;58;960;0;378;12.6;9.5;16.6;82.2
PAY;19750423;-;0;4;960.6;0;648;12.6;5.2;19.3;70
PAY;19750424;-;0;21;963.4;0;744;14;7.6;19;56.4
PAY;19750425;-;0;42;963.8;0;786;12.5;8.2;17.8;55.4
PAY;19750426;-;0;0;962.6;0;774;10.4;3.1;16.7;50.1
PAY;19750427;-;0;8;961.2;0;792;11;3.7;18;55.6
PAY;19750428;-;0;29;959;0;786;11.7;2;20.2;62.4
PAY;19750429;-;0;8;955;0;768;13.2;4.5;21.2;62.9
PAY;19750430;-;0;83;961.2;1.6;96;11.4;8.7;14.5;67.6
PAY;19750501;-;0;17;969.4;0;798;9.1;1.7;15.9;71
PAY;19750502;-;0;54;969.1;0;720;10.8;1.1;19.1;62.1
PAY;19750503;-;0;92;961.8;2.4;6;7.8;4.4;13.4;77.4
PAY;19750504;-;0;96;958.2;0;0;5;3.1;6.5;78
PAY;19750505;-;0;83;954.2;0;6;6.2;3.9;10;87
PAY;19750506;-;0;100;954.2;0;0;7.7;2.3;12;91
PAY;19750507;-;0;46;952.3;0.2;522;11.8;7.1;16.8;70.1
PAY;19750508;-;0;63;951.5;0.3;642;11;4.8;17.3;69.5
PAY;19750509;-;0;71;954.7;0;378;12;6.1;17.3;69.6
PAY;19750510;-;0;79;955.3;0.3;414;12.6;8;17.5;71.7
PAY;19750511;-;0;100;951.9;2.3;0;10.9;9.2;13.2;89.2
PAY;19750512;-;0;83;954.4;0;102;11.3;9.5;14.1;76.5
PAY;19750513;-;0;38;953.7;0;540;10.3;2.3;18.2;70.7
PAY;19750514;-;0;50;953.9;0;564;12.4;4.8;19;69
PAY;19750515;-;0;92;954.4;0;168;14.4;11.5;19;75.4
PAY;19750516;-;0;63;954.6;2.1;444;15.5;9;22;71.4
PAY;19750517;-;0;58;958.2;0;582;16.7;11;23;69.2
PAY;19750518;-;0;71;961.9;0;720;17.4;8.8;25.2;66.6
PAY;19750519;-;0;67;963.4;0;552;18.5;10.5;27.3;69.6
PAY;19750520;-;0;75;961.3;0;756;19.2;9.5;27.3;65.2
PAY;19750521;-;0;58;958.8;7.5;690;20;14.2;26.7;66.4
PAY;19750522;-;0;92;957.2;1.9;192;14.6;11.2;18.9;86.2
PAY;19750523;-;0;92;955;0;348;12.5;10;16.4;73.2
PAY;19750524;-;0;96;953.6;4.7;24;10.5;8.3;14.7;74.5
PAY;19750525;-;0;100;954;0;0;11;8.9;13;87.5
PAY;19750526;-;0;100;955.6;13.4;0;10;9.1;11.8;94.4
PAY;19750527;-;0;79;959.2;0;132;11.2;6.9;15.5;82.1
PAY;19750528;-;0;58;959.9;0;648;13.9;7.8;19.6;79.1
PAY;19750529;-;0;88;953.2;7.2;90;13.6;8;21;85.1
PAY;19750530;-;0;92;952;4.7;6;12.2;10.3;14.4;83.6
PAY;19750531;-;0;92;952.8;20.2;30;11;9;15.7;89.5
PAY;19750601;-;0;96;954.6;5;0;6.4;5;7.6;93.2
PAY;19750602;-;0;83;954.9;3.4;264;8.5;6;12.9;75.7
PAY;19750603;-;0;75;956.7;2.3;492;9.3;5.7;14.2;67
PAY;19750604;-;0;92;963.6;1.1;162;9.7;6.9;13.8;70.4
PAY;19750605;-;0;63;967.2;0;840;11.2;2.5;18;63.6
PAY;19750606;-;0;25;964.6;0;876;13;4.3;19.9;62.9
PAY;19750607;-;0;13;962.5;0;882;13.7;4.5;20.4;59.1
PAY;19750608;-;0;21;959.4;0;798;14.7;6;21.8;65.6
PAY;19750609;-;0;50;954.4;0;852;15.2;6.4;23.2;64.2
PAY;19750610;-;0;42;953.8;0;594;17;9.6;23.3;70
PAY;19750611;-;0;92;954.5;0.8;24;16.1;13.5;19.5;86.1
PAY;19750612;-;0;63;956.3;0;648;18;12.5;25.1;75.6
PAY;19750613;-;0;25;959.1;0;708;19.3;11.2;26.3;70.7
PAY;19750614;-;0;13;957.7;0;786;20.5;13.3;27.2;67.1
PAY;19750615;-;0;71;953;18.8;66;16.9;14.6;24.5;81.4
PAY;19750616;-;0;100;951.9;10.5;0;13.8;12;15.5;93
PAY;19750617;-;0;75;955.7;6;348;11.9;8.3;18.3;84.5
PAY;19750618;-;0;83;963.9;3.5;6;10.3;8.3;13.4;83.6
PAY;19750619;-;0;96;966.2;0.7;6;11.4;8.8;14.9;90
PAY;19750620;-;0;83;963.4;0;204;12.4;6.9;17;81.4
PAY;19750621;-;0;54;960.2;0;558;14.3;8.7;20.3;81.2
PAY;19750622;-;0;38;961.3;9;774;16.4;8.7;22.6;72.6
PAY;19750623;-;0;83;962.8;3.5;42;16.4;14;20.5;89.2
PAY;19750624;-;0;71;961.5;0;558;17.1;11.2;22;81.2
PAY;19750625;-;0;54;960.4;0;534;18.3;12;23.6;82.2
PAY;19750626;-;0;63;959.2;0;414;20;11.8;26.7;82
PAY;19750627;-;0;88;959;3.4;234;19.6;15.2;26;83.4
PAY;19750628;-;0;83;960.9;0;408;18.8;16.2;23;81.4
