stn;time;" Globalstrahlung (W/m); Tagesmittel";Gesamtbewoelkung (min);Luftdruck auf Stationshoehe (hpa);Durchschnittstemperatur (¡C);Relative Luftfeuchtigkeit (%);Sonnenscheindauer (min);Tiefsttemperatur (¡C);Maximaltemperatur (¡C)
JUN;19451125;-;0;651;-9.1;47;462;-;-
JUN;19451126;-;50;651.8;-12.6;41.7;432;-;-
JUN;19451127;-;3;647.6;-13.7;25.3;444;-;-
JUN;19451128;-;20;652.2;-10.6;66;228;-;-
JUN;19451129;-;7;655.2;-5.3;8.3;450;-;-
JUN;19451130;-;13;655.4;-5.6;10;450;-;-
JUN;19451201;-;27;656.1;-5.6;13.7;414;-;-
JUN;19451202;-;80;656.4;-7.7;82;0;-;-
JUN;19451203;-;43;651.9;-14.4;48;186;-;-
JUN;19451204;-;77;647.2;-20;67;0;-;-
JUN;19451205;-;100;645.6;-14;94;0;-;-
JUN;19451206;-;100;640.9;-22.4;94;0;-;-
JUN;19451207;-;33;643.9;-20;61.7;0;-;-
JUN;19451208;-;67;637.1;-26;64;72;-;-
JUN;19451209;-;20;640.8;-15.9;41.7;342;-;-
JUN;19451210;-;17;646.4;-10.6;31.7;432;-;-
JUN;19451211;-;30;648.8;-11.6;45;336;-;-
JUN;19451212;-;57;649.9;-15.3;78;96;-;-
JUN;19451213;-;80;650.2;-14.6;69;0;-;-
JUN;19451214;-;50;650.5;-14.3;50.3;96;-;-
JUN;19451215;-;70;653.7;-11.6;37.7;60;-;-
JUN;19451216;-;70;653;-10.5;50;300;-;-
JUN;19451217;-;43;649.8;-8.4;30.7;354;-;-
JUN;19451218;-;100;640.4;-12.5;83.3;0;-;-
JUN;19451219;-;100;637.9;-11.4;84.3;0;-;-
JUN;19451220;-;100;640.2;-13.6;61.7;0;-;-
JUN;19451221;-;57;642.8;-13;43.7;0;-;-
JUN;19451222;-;100;642.1;-13.9;80.7;0;-;-
JUN;19451223;-;100;639.7;-14.5;78.3;0;-;-
JUN;19451224;-;80;641;-12.2;68;138;-;-
JUN;19451225;-;100;637.6;-15.5;79;0;-;-
JUN;19451226;-;40;646.7;-14.7;40.7;126;-;-
JUN;19451227;-;100;653;-6.4;65;0;-;-
JUN;19451228;-;80;650.5;-9.9;53.7;54;-;-
JUN;19451229;-;73;640.4;-16.6;70.7;0;-;-
JUN;19451230;-;100;644.8;-19.9;91;0;-;-
JUN;19451231;-;33;646.3;-19.2;41.3;330;-;-
JUN;19460101;-;0;647.7;-16.4;5.7;426;-;-
JUN;19460102;-;7;650.1;-17.8;17;432;-;-
JUN;19460103;-;0;649.6;-17;19;432;-;-
JUN;19460104;-;13;654;-12.4;16.7;432;-;-
JUN;19460105;-;57;656.7;-10;10;132;-;-
JUN;19460106;-;10;657.7;-6.4;17.3;438;-;-
JUN;19460107;-;3;658.4;-6.6;15.7;426;-;-
JUN;19460108;-;3;655.2;-6.9;20.7;450;-;-
JUN;19460109;-;37;654.1;-9.7;32.7;396;-;-
JUN;19460110;-;100;654.7;-7.1;95.3;0;-;-
JUN;19460111;-;43;660.3;-7.2;22.7;336;-;-
JUN;19460112;-;97;653.6;-12.2;61;144;-;-
JUN;19460113;-;100;648.5;-19.2;94.7;0;-;-
JUN;19460114;-;37;645.3;-23.6;52.7;360;-;-
JUN;19460115;-;53;643.9;-23.2;55;84;-;-
JUN;19460116;-;43;644.2;-21.3;72.7;216;-;-
JUN;19460117;-;90;644.1;-23.5;72.3;0;-;-
JUN;19460118;-;100;644.5;-16.9;88;0;-;-
JUN;19460119;-;100;644.3;-13.9;86.3;0;-;-
JUN;19460120;-;23;649.7;-15.3;61.3;330;-;-
JUN;19460121;-;20;653.6;-13.9;38.7;420;-;-
JUN;19460122;-;90;649.5;-15.8;77.7;0;-;-
JUN;19460123;-;100;647.1;-14.7;86.3;0;-;-
JUN;19460124;-;73;654.3;-12.2;72;0;-;-
JUN;19460125;-;7;656.5;-10.7;39.3;468;-;-
JUN;19460126;-;10;652.6;-12.2;62.7;432;-;-
JUN;19460127;-;37;651;-12.1;41.7;414;-;-
JUN;19460128;-;60;651.4;-15.8;84;0;-;-
JUN;19460129;-;100;650.2;-11.6;91.3;0;-;-
JUN;19460130;-;100;643.8;-13.4;94;0;-;-
JUN;19460131;-;97;644.3;-22.2;86.3;0;-;-
JUN;19460201;-;63;655.1;-9.7;34.3;222;-;-
JUN;19460202;-;80;649.3;-13.1;60.7;330;-;-
JUN;19460203;-;57;654.4;-10.1;53;0;-;-
JUN;19460204;-;93;654.2;-9.6;65.7;0;-;-
JUN;19460205;-;100;648.7;-15.9;90.3;0;-;-
JUN;19460206;-;100;649;-11.6;92;0;-;-
JUN;19460207;-;83;656.8;-12.2;74;0;-;-
JUN;19460208;-;77;653.6;-9.5;30;156;-;-
JUN;19460209;-;100;635.2;-19.7;93;0;-;-
JUN;19460210;-;87;646.9;-19.6;87;0;-;-
JUN;19460211;-;100;652.2;-15.2;92;60;-;-
JUN;19460212;-;63;650.3;-15.7;67.3;0;-;-
JUN;19460213;-;30;652.1;-15.9;17;480;-;-
JUN;19460214;-;30;656.2;-13.2;58.3;438;-;-
JUN;19460215;-;37;660;-10.9;49.3;348;-;-
JUN;19460216;-;10;659.2;-10.8;38;504;-;-
JUN;19460217;-;70;654.1;-11.7;81;0;-;-
JUN;19460218;-;47;652.7;-11.6;69.3;78;-;-
JUN;19460219;-;47;651.3;-11.9;57.7;402;-;-
JUN;19460220;-;67;641;-17.5;80.3;216;-;-
JUN;19460221;-;100;634.8;-23.3;90;0;-;-
JUN;19460222;-;100;639.1;-25.6;93.7;0;-;-
JUN;19460223;-;100;641.3;-16.6;91.3;0;-;-
JUN;19460224;-;100;639.7;-20.4;92;0;-;-
JUN;19460225;-;100;643.3;-13.5;92;0;-;-
JUN;19460226;-;73;648.2;-12;67;54;-;-
JUN;19460227;-;87;644.3;-14;66;36;-;-
JUN;19460228;-;100;640.4;-12.3;82.7;0;-;-
JUN;19460301;-;100;634.6;-13.4;91.3;0;-;-
JUN;19460302;-;80;632.4;-17.5;75;72;-;-
JUN;19460303;-;100;630.2;-13.4;85.3;0;-;-
JUN;19460304;-;67;631.3;-17.3;83.3;192;-;-
JUN;19460305;-;13;635.8;-17.2;46;552;-;-
JUN;19460306;-;67;638.9;-14.9;76.7;30;-;-
JUN;19460307;-;100;638.7;-13.9;84;0;-;-
JUN;19460308;-;100;637.3;-12.3;80.7;0;-;-
JUN;19460309;-;87;640.2;-12.5;72.7;54;-;-
JUN;19460310;-;63;644.5;-12.6;74;144;-;-
JUN;19460311;-;97;645.1;-13.7;74;6;-;-
JUN;19460312;-;60;641.8;-14.1;66.7;246;-;-
JUN;19460313;-;97;638.6;-13.7;83;0;-;-
JUN;19460314;-;80;639;-14.3;80.3;0;-;-
JUN;19460315;-;47;645.2;-14.2;66.7;546;-;-
JUN;19460316;-;60;647.4;-12.3;72;444;-;-
JUN;19460317;-;63;650.9;-15.9;37.7;54;-;-
JUN;19460318;-;20;653.7;-12.8;15.7;576;-;-
JUN;19460319;-;7;658;-7.9;27.7;636;-;-
JUN;19460320;-;37;661;-6.4;34;636;-;-
JUN;19460321;-;97;661.2;-7.6;57;114;-;-
JUN;19460322;-;63;656.6;-6.5;24.3;408;-;-
JUN;19460323;-;70;655.1;-9.9;37.3;498;-;-
JUN;19460324;-;100;656.7;-6;92.3;0;-;-
JUN;19460325;-;100;657.9;-8.1;90.7;18;-;-
JUN;19460326;-;33;658.8;-6.9;68;624;-;-
JUN;19460327;-;10;660.1;-2.5;34.7;666;-;-
JUN;19460328;-;3;661.1;-2.6;34;666;-;-
JUN;19460329;-;7;659.3;-3.4;31.7;672;-;-
JUN;19460330;-;30;660.5;-4.7;43;648;-;-
JUN;19460331;-;30;659.8;-5.9;44.7;648;-;-
JUN;19460401;-;30;659.6;-6.9;43.7;606;-;-
JUN;19460402;-;23;661.6;-5.1;17.3;654;-;-
JUN;19460403;-;10;662.8;-4.9;21.3;636;-;-
JUN;19460404;-;70;660.5;-9.9;85;330;-;-
JUN;19460405;-;100;655.7;-9.9;97.7;0;-;-
JUN;19460406;-;90;654.7;-8.4;84;90;-;-
JUN;19460407;-;7;657.4;-6.7;59.3;648;-;-
JUN;19460408;-;30;659.2;-3.6;36.3;696;-;-
JUN;19460409;-;7;656.2;-6.9;23.3;564;-;-
JUN;19460410;-;90;652.9;-9.1;64.3;30;-;-
JUN;19460411;-;10;652.4;-9.3;17;714;-;-
JUN;19460412;-;7;654.6;-3.2;43.3;720;-;-
JUN;19460413;-;17;654.6;-4.1;51.7;738;-;-
JUN;19460414;-;40;655.9;-5.9;76.7;552;-;-
JUN;19460415;-;47;655.4;-6.8;79;198;-;-
JUN;19460416;-;33;656.9;-6.5;79;336;-;-
JUN;19460417;-;60;658.5;-6.3;86.3;342;-;-
JUN;19460418;-;87;655;-5.4;87.3;48;-;-
JUN;19460419;-;70;656.9;-7;75.7;126;-;-
JUN;19460420;-;17;659.5;-5;15.7;768;-;-
JUN;19460421;-;40;658.7;-5.3;43;540;-;-
JUN;19460422;-;100;655.3;-6.5;97;60;-;-
JUN;19460423;-;23;654.3;-7.5;63.3;618;-;-
JUN;19460424;-;30;650.7;-8.4;73.7;414;-;-
JUN;19460425;-;90;649.1;-9.4;92;54;-;-
JUN;19460426;-;100;644.8;-8.6;95.3;0;-;-
JUN;19460427;-;100;644.5;-7;97;0;-;-
JUN;19460428;-;100;645;-9.1;95.3;60;-;-
JUN;19460429;-;80;644.4;-11.4;87.7;66;-;-
JUN;19460430;-;100;648;-9.1;83.3;30;-;-
JUN;19460501;-;100;653.2;-7.1;92;60;-;-
JUN;19460502;-;40;655;-6;80.7;294;-;-
JUN;19460503;-;100;654.6;-5.9;93;54;-;-
JUN;19460504;-;100;654;-5.9;94.3;36;-;-
JUN;19460505;-;100;649.4;-6.1;88.3;126;-;-
JUN;19460506;-;100;650.4;-5.9;95;18;-;-
JUN;19460507;-;80;654.1;-5.4;94.7;30;-;-
JUN;19460508;-;70;656.1;-6.8;78.7;150;-;-
JUN;19460509;-;37;656.4;-4.6;68.7;630;-;-
JUN;19460510;-;77;657.1;-5.3;90.7;150;-;-
JUN;19460511;-;70;657.6;-4;65;372;-;-
JUN;19460512;-;100;654.1;-5.1;98.7;0;-;-
JUN;19460513;-;100;646.7;-5.2;98.7;0;-;-
JUN;19460514;-;100;644.1;-6.6;91.7;0;-;-
JUN;19460515;-;100;645.2;-8.1;93.7;36;-;-
JUN;19460516;-;100;648;-9.9;90.3;0;-;-
JUN;19460517;-;83;651;-9.6;89.7;18;-;-
JUN;19460518;-;87;654.6;-7.9;81;0;-;-
JUN;19460519;-;60;657.1;-5.4;70;678;-;-
JUN;19460520;-;73;655.4;-4.8;83.3;138;-;-
JUN;19460521;-;97;654.2;-4.2;89;36;-;-
JUN;19460522;-;73;654.5;-4.2;84;456;-;-
JUN;19460523;-;87;653;-3.8;92.3;108;-;-
JUN;19460524;-;87;651.7;-3.9;87.7;18;-;-
JUN;19460525;-;100;650;-4.8;98.7;0;-;-
JUN;19460526;-;100;647.5;-6.5;97.3;0;-;-
JUN;19460527;-;47;652.1;-6.3;80.3;360;-;-
JUN;19460528;-;27;655.4;-3.7;61.3;702;-;-
JUN;19460529;-;100;654.6;-4.9;92.7;0;-;-
JUN;19460530;-;100;654.9;-4.7;73.3;318;-;-
JUN;19460531;-;67;654.5;-4.2;72.7;246;-;-
JUN;19460601;-;100;652.1;-3;88;0;-;-
JUN;19460602;-;70;651.2;-5.3;83.3;216;-;-
JUN;19460603;-;73;655.2;-6.7;75;372;-;-
JUN;19460604;-;43;658.2;-7.7;44.7;624;-;-
JUN;19460605;-;80;661;-1;80;114;-;-
JUN;19460606;-;53;662;0.8;47;774;-;-
JUN;19460607;-;100;663.2;0.3;84.3;126;-;-
JUN;19460608;-;53;663.4;0.4;68.7;696;-;-
JUN;19460609;-;67;662.8;0.4;54.3;444;-;-
JUN;19460610;-;93;658.3;-1.5;75.3;0;-;-
JUN;19460611;-;83;655.6;-3.9;77;126;-;-
JUN;19460612;-;100;653.3;-5.2;84.7;60;-;-
JUN;19460613;-;100;647.1;-10.1;94.3;0;-;-
JUN;19460614;-;100;653.2;-11.6;88.7;0;-;-
JUN;19460615;-;27;655.8;-7;58;648;-;-
JUN;19460616;-;100;655.2;-7.1;62;0;-;-
JUN;19460617;-;87;658.2;-6.6;84;240;-;-
JUN;19460618;-;80;659.6;-3.1;81.3;108;-;-
JUN;19460619;-;47;659.3;-3.2;79;666;-;-
JUN;19460620;-;73;659.7;-3.5;72;420;-;-
JUN;19460621;-;100;658.2;-3.3;100;0;-;-
JUN;19460622;-;100;652.6;-7.1;95.7;6;-;-
JUN;19460623;-;100;653.8;-8.2;92.7;0;-;-
JUN;19460624;-;100;656.5;-7.1;91.3;18;-;-
JUN;19460625;-;30;660;-5.1;62.3;534;-;-
JUN;19460626;-;70;659.5;-3.7;82.3;360;-;-
JUN;19460627;-;7;662.9;-1.1;43.7;870;-;-
JUN;19460628;-;20;665.4;0.2;69;666;-;-
JUN;19460629;-;30;668.2;1;80;564;-;-
JUN;19460630;-;20;671.2;2.2;32;708;-;-
JUN;19460701;-;43;671.6;2.4;30.7;648;-;-
JUN;19460702;-;33;668.7;1.7;32.7;630;-;-
JUN;19460703;-;10;666.9;3.6;16;876;-;-
JUN;19460704;-;33;664.3;3.3;33.3;672;-;-
JUN;19460705;-;100;662.8;1.1;79.3;138;-;-
JUN;19460706;-;100;661.7;-1;64;204;-;-
JUN;19460707;-;100;656.7;-6.6;92.7;0;-;-
JUN;19460708;-;63;658.7;-2.7;69.7;276;-;-
JUN;19460709;-;20;662.6;1;55.3;870;-;-
JUN;19460710;-;7;667.1;0.2;56;708;-;-
JUN;19460711;-;50;664.9;-2.5;73.7;540;-;-
JUN;19460712;-;47;662.2;-1.5;64.3;624;-;-
JUN;19460713;-;40;659.8;-0.9;71.3;540;-;-
JUN;19460714;-;93;657.6;-1.3;97;72;-;-
JUN;19460715;-;83;655;-1;76;474;-;-
JUN;19460716;-;60;657.4;0.6;84;732;-;-
JUN;19460717;-;100;660.2;0.6;100;288;-;-
JUN;19460718;-;73;661.8;0;89.7;108;-;-
JUN;19460719;-;73;661.7;-1.9;95.3;132;-;-
JUN;19460720;-;87;660.9;-1.4;97.3;264;-;-
JUN;19460721;-;100;659.2;-4.3;100;0;-;-
JUN;19460722;-;57;664;-2.3;80.3;528;-;-
JUN;19460723;-;13;668.4;4.7;71.7;858;-;-
JUN;19460724;-;27;668.2;4.7;68;744;-;-
JUN;19460725;-;37;667.9;2.3;89.3;696;-;-
JUN;19460726;-;3;668.3;5.3;57.3;816;-;-
JUN;19460727;-;33;669.4;5.2;77;618;-;-
JUN;19460728;-;57;664.5;-0.7;91.7;30;-;-
JUN;19460729;-;83;661.6;-2.2;96.3;258;-;-
JUN;19460730;-;3;663.6;1.7;58.3;780;-;-
JUN;19460731;-;3;665.5;1;74.7;798;-;-
JUN;19460801;-;53;664.1;-1;84.3;456;-;-
JUN;19460802;-;13;665;-0.4;81.7;678;-;-
JUN;19460803;-;13;666.5;2;83.7;600;-;-
JUN;19460804;-;30;667.9;3.6;90.3;624;-;-
JUN;19460805;-;50;668.6;5.1;68;420;-;-
JUN;19460806;-;50;665.8;2.5;79.3;492;-;-
JUN;19460807;-;10;663.7;3.7;45;786;-;-
JUN;19460808;-;30;660.3;2.5;87.7;612;-;-
JUN;19460809;-;63;659.4;1.1;98;474;-;-
JUN;19460810;-;100;660.5;1.6;100;120;-;-
JUN;19460811;-;77;661.6;0.4;100;60;-;-
JUN;19460812;-;13;664;3;80.7;768;-;-
JUN;19460813;-;67;661.9;-0.4;79.3;288;-;-
JUN;19460814;-;13;662.6;0.5;73.3;534;-;-
JUN;19460815;-;70;658.5;-3.1;86.3;324;-;-
JUN;19460816;-;70;656.3;-1.2;80;348;-;-
JUN;19460817;-;97;658.2;-0.1;100;72;-;-
JUN;19460818;-;100;659;-0.3;100;0;-;-
JUN;19460819;-;100;656.3;-4.2;100;258;-;-
JUN;19460820;-;43;656.8;-6;96.7;0;-;-
JUN;19460821;-;70;655.8;-5.8;88.3;222;-;-
JUN;19460822;-;37;656.3;-7.8;100;528;-;-
JUN;19460823;-;7;658.6;-3.9;80.3;768;-;-
JUN;19460824;-;10;656.3;-2;71.7;612;-;-
JUN;19460825;-;90;654;-3.6;94;66;-;-
JUN;19460826;-;100;653.4;-6.3;100;0;-;-
JUN;19460827;-;37;654.8;-5.3;86.7;486;-;-
JUN;19460828;-;50;657.7;-1.1;98.3;456;-;-
JUN;19460829;-;100;658.2;-1;100;0;-;-
JUN;19460830;-;93;658;-1.8;100;156;-;-
JUN;19460831;-;73;656.1;-5.7;100;300;-;-
JUN;19460901;-;83;656.3;-2.9;96.3;0;-;-
JUN;19460902;-;53;655.3;-3.7;80.7;516;-;-
JUN;19460903;-;67;655.4;-3.3;100;258;-;-
JUN;19460904;-;100;657;-2;100;0;-;-
JUN;19460905;-;100;657.8;-0.3;100;0;-;-
JUN;19460906;-;100;659.5;-0.2;100;0;-;-
JUN;19460907;-;53;661.1;-0.8;83.3;288;-;-
JUN;19460908;-;77;660.2;-0.4;89.7;318;-;-
JUN;19460909;-;67;658.9;-7.6;100;222;-;-
JUN;19460910;-;7;662.3;-2.2;54;702;-;-
JUN;19460911;-;10;661.8;-0.8;64;672;-;-
JUN;19460912;-;10;662.1;0.5;38.7;690;-;-
JUN;19460913;-;17;660.9;-1.6;69.3;684;-;-
JUN;19460914;-;100;659.1;-3.6;100;0;-;-
JUN;19460915;-;40;663.7;0.2;100;354;-;-
JUN;19460916;-;77;665.2;0.2;100;408;-;-
JUN;19460917;-;97;662.4;-0.6;100;198;-;-
JUN;19460918;-;83;659.8;-3.5;96;300;-;-
JUN;19460919;-;97;659;-2.7;100;24;-;-
JUN;19460920;-;23;659.4;-3.2;83.3;666;-;-
JUN;19460921;-;7;660.3;-6.3;65.7;582;-;-
JUN;19460922;-;20;665.7;-0.3;62.3;552;-;-
JUN;19460923;-;7;665.8;2.2;73.3;660;-;-
JUN;19460924;-;3;664.5;1.7;54.7;624;-;-
JUN;19460925;-;3;667;1.6;61.7;648;-;-
JUN;19460926;-;0;668.4;1.8;77.3;648;-;-
JUN;19460927;-;0;667.8;1.4;93;648;-;-
JUN;19460928;-;0;665.3;1.1;81.7;636;-;-
JUN;19460929;-;0;663;-0.4;91.3;564;-;-
JUN;19460930;-;47;662;-1;100;366;-;-
JUN;19461001;-;53;661.7;-1.5;99.3;294;-;-
JUN;19461002;-;7;663.4;-1.2;84.3;540;-;-
JUN;19461003;-;50;664.7;-0.5;58.3;510;-;-
JUN;19461004;-;100;658.1;-6.2;100;0;-;-
JUN;19461005;-;97;654.7;-7.3;100;0;-;-
JUN;19461006;-;100;652;-6.2;100;0;-;-
JUN;19461007;-;3;652.2;-11.6;80.7;402;-;-
JUN;19461008;-;7;654.2;-7.5;83.3;546;-;-
JUN;19461009;-;23;653;-9.2;84;468;-;-
JUN;19461010;-;33;655.9;-4.5;82.3;504;-;-
JUN;19461011;-;7;656.2;-7.1;81.7;534;-;-
JUN;19461012;-;7;655.7;-3.1;72;534;-;-
JUN;19461013;-;7;655.2;-2.1;45;522;-;-
JUN;19461014;-;7;656;-2.8;68;540;-;-
JUN;19461015;-;33;653;-7.8;91;444;-;-
JUN;19461016;-;0;656.1;-3.5;74.7;540;-;-
JUN;19461017;-;23;660.5;-1;83;534;-;-
JUN;19461018;-;10;660.3;-1.4;85.3;516;-;-
JUN;19461019;-;70;657.6;-3.6;100;456;-;-
JUN;19461020;-;77;653.4;-4.3;99.3;264;-;-
JUN;19461021;-;100;650.4;-6.9;100;12;-;-
JUN;19461022;-;50;650;-7.9;67.3;402;-;-
JUN;19461023;-;63;649.5;-9.3;88.3;156;-;-
JUN;19461024;-;33;649.6;-10.6;83.7;318;-;-
JUN;19461025;-;10;654.6;-9.5;46;510;-;-
JUN;19461026;-;63;656;-8.5;81;240;-;-
JUN;19461027;-;83;652;-7.5;100;66;-;-
JUN;19461028;-;73;649.1;-12.6;86.7;288;-;-
JUN;19461029;-;3;647.7;-16.1;100;390;-;-
JUN;19461030;-;67;643.1;-16.2;100;0;-;-
JUN;19461031;-;40;643.6;-16;100;372;-;-
JUN;19461101;-;100;647.9;-12.1;100;0;-;-
JUN;19461102;-;33;654.6;-10.6;95.3;492;-;-
JUN;19461103;-;67;660.5;-7.4;67.7;294;-;-
JUN;19461104;-;40;662.9;-3.2;98.3;498;-;-
JUN;19461105;-;73;656.3;-10.3;100;96;-;-
JUN;19461106;-;27;656.7;-10.2;100;438;-;-
JUN;19461107;-;3;652.3;-9.9;75.3;492;-;-
JUN;19461108;-;47;642.7;-10.1;91.3;486;-;-
JUN;19461109;-;100;640.3;-13.6;100;0;-;-
JUN;19461110;-;13;642.3;-11.9;88;450;-;-
JUN;19461111;-;13;647.1;-9.6;56;432;-;-
JUN;19461112;-;0;651.1;-10.1;52.3;492;-;-
JUN;19461113;-;7;651.7;-7.4;65;486;-;-
JUN;19461114;-;67;646.7;-9.6;96.7;24;-;-
JUN;19461115;-;97;642.3;-11.6;100;0;-;-
JUN;19461116;-;77;640;-13.7;100;48;-;-
JUN;19461117;-;17;638.8;-11.4;100;402;-;-
JUN;19461118;-;100;633.7;-15.4;100;0;-;-
JUN;19461119;-;73;643.2;-8.3;100;0;-;-
JUN;19461120;-;63;646.3;-8.6;81.7;342;-;-
JUN;19461121;-;73;649.3;-10;78.3;378;-;-
JUN;19461122;-;100;650.2;-12.7;97.3;0;-;-
JUN;19461123;-;10;656.7;-12.6;77;426;-;-
JUN;19461124;-;47;658.9;-4.9;60;318;-;-
JUN;19461125;-;90;653.2;-6.2;72.3;66;-;-
JUN;19461126;-;100;648.7;-13.5;100;0;-;-
JUN;19461127;-;17;652.9;-11.1;59.3;450;-;-
JUN;19461128;-;43;652.2;-6.4;32.7;282;-;-
JUN;19461129;-;93;649.6;-8.4;68.3;30;-;-
JUN;19461130;-;100;648.4;-12.8;100;0;-;-
JUN;19461201;-;100;648.7;-16;98.7;0;-;-
JUN;19461202;-;97;652.5;-10.8;95.3;0;-;-
JUN;19461203;-;83;641.3;-16.6;95;0;-;-
JUN;19461204;-;60;634.5;-18.7;68.3;0;-;-
JUN;19461205;-;17;638.7;-18;70.7;438;-;-
JUN;19461206;-;73;639.6;-20.2;81;0;-;-
JUN;19461207;-;37;639.8;-19.7;84.7;378;-;-
JUN;19461208;-;67;636.5;-15.9;92.7;132;-;-
JUN;19461209;-;93;631.1;-18.8;92.7;54;-;-
JUN;19461210;-;100;638.2;-19.1;99.3;0;-;-
JUN;19461211;-;27;645.6;-13.1;90;366;-;-
JUN;19461212;-;37;647.3;-12.4;88.7;156;-;-
JUN;19461213;-;60;648.3;-14.6;64.3;66;-;-
JUN;19461214;-;67;649.8;-17.1;100;0;-;-
JUN;19461215;-;7;649;-16;35.7;438;-;-
JUN;19461216;-;100;644;-17.6;100;0;-;-
JUN;19461217;-;67;650;-12.9;97.7;0;-;-
JUN;19461218;-;23;648.8;-13.1;66.7;342;-;-
JUN;19461219;-;13;644.8;-14.9;72.3;432;-;-
JUN;19461220;-;10;647;-13.1;86.7;420;-;-
JUN;19461221;-;13;650.4;-12.2;70;420;-;-
JUN;19461222;-;7;650.1;-12.3;57.3;432;-;-
JUN;19461223;-;7;646;-14.6;61;426;-;-
JUN;19461224;-;40;646.2;-15.4;83.3;420;-;-
JUN;19461225;-;27;649.1;-13.8;74;240;-;-
JUN;19461226;-;100;645.3;-14.2;100;0;-;-
JUN;19461227;-;60;637.8;-18.2;68.7;198;-;-
JUN;19461228;-;7;642.8;-18.8;93;384;-;-
JUN;19461229;-;7;644.6;-18.7;68;450;-;-
JUN;19461230;-;47;644.6;-20.4;88.3;246;-;-
JUN;19461231;-;57;644.2;-13.6;70.7;384;-;-
JUN;19470101;-;100;644.3;-18.6;100;0;-;-
JUN;19470102;-;73;649;-15.9;82.7;66;-;-
JUN;19470103;-;37;648.3;-16.9;66.3;156;-;-
JUN;19470104;-;3;648.4;-13.4;28.7;438;-;-
JUN;19470105;-;3;643.4;-14.7;27.3;444;-;-
JUN;19470106;-;73;640.2;-15.9;75;54;-;-
JUN;19470107;-;43;642.5;-15.6;65.3;174;-;-
JUN;19470108;-;97;645.1;-16;86.7;0;-;-
JUN;19470109;-;100;647.5;-12.7;100;0;-;-
JUN;19470110;-;77;645.3;-19.1;100;0;-;-
JUN;19470111;-;100;644.8;-11.9;100;0;-;-
JUN;19470112;-;80;647.6;-13.4;88.3;0;-;-
JUN;19470113;-;100;646.9;-11.4;97;0;-;-
JUN;19470114;-;100;649.7;-15.9;93.7;0;-;-
JUN;19470115;-;40;661.3;-10.2;77.7;84;-;-
JUN;19470116;-;7;663.9;-6.7;41.3;468;-;-
JUN;19470117;-;27;661.7;-7.7;55.7;456;-;-
JUN;19470118;-;3;656.1;-15.3;50.3;408;-;-
JUN;19470119;-;97;651.6;-16.2;93.3;0;-;-
JUN;19470120;-;3;645.2;-17.6;20.3;480;-;-
JUN;19470121;-;40;643.6;-19.2;19.3;342;-;-
JUN;19470122;-;33;638.7;-25.9;98.3;66;-;-
JUN;19470123;-;0;635.8;-28;86.3;468;-;-
JUN;19470124;-;10;636.3;-25.8;48.3;438;-;-
JUN;19470125;-;77;635.4;-21.2;88;0;-;-
JUN;19470126;-;30;630.3;-13;70.3;354;-;-
JUN;19470127;-;20;630.8;-17.7;47.7;258;-;-
JUN;19470128;-;37;635;-19.1;41.3;486;-;-
JUN;19470129;-;27;639;-17.9;69;474;-;-
JUN;19470130;-;80;639.6;-17.6;86.7;120;-;-
JUN;19470131;-;33;640;-19;58.7;480;-;-
JUN;19470201;-;43;639.3;-19.2;66;486;-;-
JUN;19470202;-;93;637.3;-15.1;98;0;-;-
JUN;19470203;-;60;633.3;-16.2;83.3;210;-;-
JUN;19470204;-;100;628.3;-16.6;94.3;0;-;-
JUN;19470205;-;100;631.8;-18.5;84.3;0;-;-
JUN;19470206;-;33;637.3;-20.4;77.3;114;-;-
JUN;19470207;-;67;639.5;-14.6;62;144;-;-
JUN;19470208;-;83;638;-14.3;80.7;0;-;-
JUN;19470209;-;53;642.2;-15.6;85.3;432;-;-
JUN;19470210;-;97;641.3;-14.1;97.3;0;-;-
JUN;19470211;-;27;641.9;-15.1;73.3;414;-;-
JUN;19470212;-;20;641.1;-13.7;46.3;498;-;-
JUN;19470213;-;7;640.5;-14;30.3;492;-;-
JUN;19470214;-;0;641.4;-16.7;34;504;-;-
JUN;19470215;-;0;641.6;-19.6;54.3;504;-;-
JUN;19470216;-;33;638.8;-19.5;57.3;456;-;-
JUN;19470217;-;97;637.6;-20.3;98.7;0;-;-
JUN;19470218;-;100;635.9;-18.5;98;0;-;-
JUN;19470219;-;87;633.8;-17.6;92.7;222;-;-
JUN;19470220;-;70;637.6;-14.8;65.7;438;-;-
JUN;19470221;-;97;640.5;-8.3;98.3;0;-;-
JUN;19470222;-;97;639;-8.1;100;0;-;-
JUN;19470223;-;43;638.6;-16.3;86;444;-;-
JUN;19470224;-;97;639.3;-13.2;75.7;0;-;-
JUN;19470225;-;93;634.1;-11.5;99.7;0;-;-
JUN;19470226;-;33;641;-16.1;61;534;-;-
JUN;19470227;-;63;640.2;-12.9;81;18;-;-
JUN;19470228;-;90;634.1;-17.5;98.7;0;-;-
JUN;19470301;-;43;634.4;-25.6;96;126;-;-
JUN;19470302;-;20;641.1;-18.4;22.3;396;-;-
JUN;19470303;-;90;645;-11.4;82;0;-;-
JUN;19470304;-;100;649.2;-8.4;73.3;174;-;-
JUN;19470305;-;97;642.2;-8.4;95.3;0;-;-
JUN;19470306;-;87;640;-10.6;94;246;-;-
